mice,mice,67.4833109218
human,gut,66.1751838748
immune,system,57.5063700153
data,data,57.0471367945
human,human,55.6332681046
data,analysis,53.529182561
gut,gut,48.654813766
analysis,data,47.8597027504
bacterial,community,47.5030099449
bacterial,bacterial,44.9364668421
disease,disease,43.110269038
patients,patients,42.3283776288
community,structure,41.7695917195
bacterial,diversity,41.7388652901
health,disease,41.7102519825
human,health,40.6329735877
host,host,39.0821122848
human,milk,38.9706842028
gastrointestinal,tract,38.4785686689
analysis,analysis,38.313591589
oral,oral,37.6416188939
human,intestinal,37.5337273831
human,project,37.4505497891
sequencing,sequencing,37.1289695729
figure,figure,37.1143450492
community,composition,36.754958838
host,immune,36.5520103524
gut,host,36.4370268556
human,disease,36.2320774146
health,health,36.1710264482
diversity,diversity,35.8260440407
human,body,35.7026462538
intestinal,intestinal,35.672969937
different,different,35.6348959957
patients,disease,35.3429333051
data,set,35.0883261107
host,interactions,35.0672916791
metagenomic,data,34.9360377683
bacterial,human,34.8154511953
gut,mice,34.783238395
community,community,34.6287577441
chronic,disease,34.5759990242
metabolism,metabolism,34.3248661599
sequencing,data,34.0614166427
analysis,bacterial,33.5157933115
vaginal,vaginal,33.4530001887
risk,factors,33.0787325858
vaginal,women,32.478320376
diet,gut,32.2762994934
intestinal,bacterial,32.1651782193
diversity,human,32.1500308984
environmental,factors,32.0384425347
important,role,31.8478102971
respiratory,tract,31.6731503394
host,gut,31.6675952
diet,diet,31.5232551277
mice,diet,31.4649160275
gut,obesity,31.2350371579
increased,risk,31.2030413989
metagenomic,analysis,30.9211817059
analysis,human,30.8143654371
gut,bacterial,30.8111269819
gut,human,30.7961802856
early,life,30.6239311369
immune,immune,30.6120661814
host,bacterial,30.6071542842
reference,genomes,30.5403256398
bacterial,gut,30.3051363833
more,more,30.3032626551
healthy,subjects,30.0594759666
hiv,hiv,29.9801334832
mouse,model,29.9606158655
mouse,mouse,29.9416288142
bacterial,taxa,29.8733996673
diet,mice,29.8672903651
figure,analysis,29.7766606464
human,oral,29.7541186891
intestinal,mice,29.4465436755
figure,bacterial,29.43559918
subjects,subjects,29.4154936311
risk,disease,29.3379881366
analysis,revealed,29.3250181226
intestinal,disease,29.2774966913
healthy,individuals,29.14859675
patients,who,29.0394457708
intestinal,inflammation,28.9760096862
human,bacterial,28.9357655299
gut,immune,28.9312563073
role,disease,28.7702940614
bacterial,host,28.6693552182
obesity,gut,28.6645236041
composition,gut,28.604912459
work,supported,28.5892721615
intestinal,immune,28.5290321571
bacterial,populations,28.4535124332
analysis,community,28.3949288846
vaginal,bacterial,28.3795545905
diet,obesity,28.3476904578
