hpag1,hpag1,48.8708969385
protein,protein,28.2446581665
gf,mice,20.6222583716
hypothetical,protein,20.0159989372
thetaiotaomicron,longum,18.5402461729
outer,membrane,18.4610413355
genes,genes,17.7625223455
protein,membrane,17.7258332695
protein,outer,17.3627466835
gene,expression,17.2487223884
thetaiotaomicron,genes,17.1788509047
acad,sci,17.164056546
protein,hypothetical,16.959960057
proc,sci,16.9582335229
natl,sci,16.8999682761
proc,acad,16.8415194063
natl,acad,16.7230509505
proc,natl,16.7224559751
germ,free,16.6614862041
ad,ad,16.2436380567
gut,microbiota,16.1310235706
membrane,protein,15.8494571076
outer,protein,15.5712886422
thetaiotaomicron,thetaiotaomicron,15.4130597312
hypothetical,hypothetical,15.2951695354
www,pnas,14.7042992073
intestinal,microbiota,14.5753685518
conv,mice,14.5096999007
expression,genes,14.4973689378
natl,usa,14.4804248646
acad,usa,14.480310385
proc,usa,14.4796616673
sci,usa,14.4786313509
thetaiotaomicron,expression,14.4613207734
cells,cells,14.4591416749
protein,hpag1,14.3232346087
appl,microbiol,14.3022244437
journal,pbio,14.2745962835
doi,pbio,14.2037218116
doi,journal,14.1992018595
et,et,14.009015422
smithii,thetaiotaomicron,13.9973253419
nih,nih,13.9543618716
membrane,membrane,13.8822843092
use,terms,13.764461971
supporting,information,13.6602018304
supporting,site,13.6275335144
membrane,outer,13.5944867319
environ,microbiol,13.5864833907
appl,environ,13.5581339544
mice,group,13.5088320434
supporting,pnas,13.4718027803
mice,mice,13.4540209885
glycoside,hydrolases,13.407854425
lq,ad,13.3755326641
genes,expression,13.3111406659
thetaiotaomicron,smithii,13.3013676101
co,colonization,13.2762300301
ad,lq,13.1872997392
supporting,web,13.1838964782
ad,h1,13.0744965997
expression,thetaiotaomicron,13.0057871044
terms,conditions,12.9873335225
use,conditions,12.9755856064
thetaiotaomicron,mice,12.9570804703
information,site,12.9447627656
published,supporting,12.9130251856
published,site,12.9121810389
gy,tbi,12.8739169617
published,pnas,12.826356127
web,site,12.7592808286
pnas,web,12.753311725
pnas,site,12.7454179702
information,pnas,12.7372897475
gf,conv,12.7347080426
lq,lq,12.6861048051
outer,outer,12.6835392779
human,microbiome,12.6182152266
h1,ad,12.6072384645
published,web,12.6025599094
free,mice,12.6016505052
microbial,communities,12.568392103
mice,thetaiotaomicron,12.5657608206
published,information,12.5148470375
human,gut,12.4193318041
genes,involved,12.4087186991
longum,thetaiotaomicron,12.3998587463
information,web,12.3985557279
hpag1,transport,12.2989858107
tet,tet,12.243183493
subject,terms,12.1580542702
subject,conditions,12.1567426047
use,subject,12.1511252546
hpag1,protein,12.0481957432
germ,mice,12.0420076452
gnotobiotic,mice,11.9715658794
cecal,contents,11.9453245742
human,microbiota,11.8810706466
bacterial,species,11.8617068575
data,shown,11.7558496884
ad,c1,11.7025695256
united,states,11.5697560633
lq,h1,11.5309170703
microbial,community,11.5010391926
expression,colonization,11.4954575198
host,microbial,11.4773832847
pnas,pnas,11.4466557144
bacteroides,bacteroides,11.4309402517
genes,regulated,11.3947626602
human,research,11.319578562
thetaiotaomicron,fig,11.2975482684
human,intestinal,11.2569418135
ad,c2,11.2227165519
c2,ad,11.1780752746
expression,expression,11.0531224567
human,human,11.0531224567
