clickability,clickability,12.4899362318
download,msn,12.4339658927
mm,mm,12.1682617427
wireless,handheld,12.1468738284
cows,cows,11.8446304106
msn,asp,11.7667886287
notify,sender,11.6427695071
download,asp,11.4695561832
blackberry,wireless,11.2538065969
blackberry,handheld,11.2427470173
error,notify,11.2290888304
error,sender,11.2054121963
disclosure,distribution,11.1337931835
error,delete,11.0977408952
notify,immediately,11.0767367349
wireless,blackberry,11.0681766948
handheld,blackberry,11.0609086943
msn,msn,11.0500677229
error,immediately,11.0305883955
importance,high,10.9350339528
blackberry,net,10.9068391891
delete,disclosure,10.8851808173
sender,delete,10.8646075962
sara,wholesale,10.8378135407
wireless,net,10.8099916886
handheld,net,10.8027236881
sender,immediately,10.799095082
north,america,10.7562141253
notify,delete,10.7349086903
specific,individual,10.7039322409
disclosure,taking,10.6766096966
exmerge,items,10.6595534303
immediately,delete,10.6056107571
ken,lay,10.6017113412
ceo,ceo,10.4783023608
html,html,10.4662470887
intended,disclosure,10.4545366375
notify,original,10.4148694697
confidential,individual,10.4050480961
taking,prohibited,10.353278512
received,error,10.2971433393
intended,individual,10.2779913598
sender,original,10.2723154398
delete,distribution,10.2563716116
index,index,10.2542322703
error,original,10.2378270634
individual,law,10.2195466949
blackberry,blackberry,10.1988719658
prohibited,error,10.1924319471
status,changed,10.1851878945
specific,law,10.1519079781
sara,smith,10.1272176901
individual,intended,10.1259882664
dynegy,dynegy,10.1193521422
confidential,intended,10.1031327654
center,center,10.0625740912
prohibited,sender,10.0507633684
confidential,specific,10.0379331681
stacey,stacey,10.0368314536
id,id,10.0362304559
law,delete,10.0288264939
distribution,taking,10.025550918
share,mm,10.0228119373
eol,eol,10.0079408811
law,disclosure,10.0030445922
prohibited,individual,9.98184221902
distribution,prohibited,9.97412800983
original,prohibited,9.92554327396
immediately,original,9.89149365588
prohibited,specific,9.88360357758
oct,oct,9.86873961004
delete,prohibited,9.86707087124
mail,mail,9.84512674317
canada,canada,9.83224384316
received,notify,9.82298954647
couple,weeks,9.82220004357
story,story,9.81668362271
intended,delete,9.81458658295
amount,paid,9.80948981631
delete,original,9.8011905061
specific,intended,9.76281086431
sara,sara,9.76220907351
wholesale,smith,9.75090928579
immediately,prohibited,9.74745095164
mm,paid,9.74467896032
intended,specific,9.74095143034
received,sender,9.72805353678
prohibited,notify,9.70789057112
confidential,law,9.65967597299
wholesale,services,9.65669388653
intended,distribution,9.64684050211
amount,status,9.64511906127
individual,sender,9.64335009771
confidential,notify,9.61230143681
purchase,sale,9.60114360036
exmerge,chris,9.59939937719
party,party,9.58690257787
sara,services,9.57958739422
sale,sale,9.57188357163
delete,taking,9.5434377148
amount,amount,9.53456111629
prohibited,confidential,9.53265453528
cows,via,9.52901608966
approval,status,9.50015178254
prohibited,intended,9.49590857001
delete,copies,9.49315626209
disclosure,prohibited,9.49201255079
saturday,sunday,9.48415381821
index,html,9.46955982277
received,immediately,9.46126699608
smith,texas,9.45219587509
delete,message,9.44868605018
trades,trades,9.4235298039
mm,future,9.41961945421
prohibited,immediately,9.41624504317
nov,nov,9.41536081504
received,delete,9.4087059403
smith,houston,9.40845130951
short,term,9.40412008191
confidential,error,9.40006960203
status,status,9.39209772198
law,intended,9.38301421961
total,amount,9.38098949589
changed,report,9.38066805717
copies,notify,9.37335020031
sender,email,9.37166575213
status,report,9.36179487412
delivery,points,9.35390150377
america,smith,9.34538487073
edison,edison,9.31631767153
changed,changed,9.31424399528
east,east,9.3110660646
confidential,sender,9.30416134116
positions,positions,9.27568629365
immediately,copies,9.26501188572
intended,law,9.25656588437
load,load,9.25197641552
north,smith,9.22585400425
transmission,transmission,9.21320375246
oct,nov,9.20414393718
michelle,michelle,9.18248230531
game,game,9.17955018256
value,value,9.16211254001
america,texas,9.16042975071
copies,copies,9.15647244076
america,corp,9.14794727782
payment,status,9.14776495949
cows,sell,9.13506732449
sara,houston,9.11894585075
download,download,9.10103214361
notify,email,9.09690134153
north,texas,9.0965335832
daily,daily,9.0928297787
msn,download,9.07771772463
confidential,disclosure,9.07691866209
paid,status,9.05829092594
use,prohibited,9.04515089148
message,confidential,9.03546814652
message,individual,9.02238254124
confidential,immediately,9.02070739409
north,corp,9.01099855258
account,account,9.01082908888
transaction,transaction,8.99150978414
period,period,8.97733676683
susan,susan,8.97139364494
hard,copies,8.97049346159
notify,use,8.96101022539
houston,texas,8.94394669687
message,disclosure,8.92747089422
sender,copies,8.9088680755
disclosure,message,8.89529048847
book,book,8.8732403859
message,taking,8.86667219973
times,times,8.86661556769
sender,sender,8.85975786387
report,report,8.85721412792
immediately,sender,8.84268435051
immediately,notify,8.8408484711
