mail,mail,62.2379573323
let,know,58.0373094668
enron,enron,43.1788482366
file,file,33.4809622847
exmerge,items,29.8980550983
enron,north,27.1556544509
north,america,26.891691082
enron,corp,26.8026363011
enron,houston,26.3251779634
blackberry,net,25.9479878699
enron,america,25.9433445659
smith,houston,24.7627003728
next,week,24.4451314301
enron,smith,24.4016851709
gas,gas,23.7165964872
enron,services,23.6068467043
download,msn,23.5117022583
msn,asp,22.0390812099
houston,texas,21.7502409176
importance,high,21.3666392759
file,enron,21.2464537879
give,call,20.8971854661
message,message,20.4414987663
make,sure,20.43493635
know,questions,20.1094267145
msn,msn,20.015540082
let,questions,19.7941738741
energy,energy,19.6914576512
exmerge,chris,19.6469556266
blackberry,wireless,19.5112279403
blackberry,handheld,19.4855443997
wireless,handheld,19.4379349073
know,need,19.1144835394
enron,texas,18.9463590604
enron,file,18.8278748723
blackberry,blackberry,18.5583724891
power,power,18.4258449608
smith,texas,18.4127653332
wireless,blackberry,18.2944807117
handheld,blackberry,18.2944376587
wireless,net,18.2928101374
handheld,net,18.2927586471
confidential,information,18.2875747971
enron,wholesale,18.0142673483
call,questions,18.0097982417
last,week,17.9038140042
let,need,17.8924560012
market,market,17.7936931053
wholesale,services,17.5850033127
gas,company,17.4979384953
john,john,17.3609435555
north,houston,17.2392225084
report,report,17.0803325447
america,houston,16.9511244389
message,confidential,16.8497712063
know,enron,16.7765263652
information,intended,16.7654047378
questions,call,16.5939353499
services,houston,16.5056153065
delete,message,16.4990664195
north,smith,16.4951171416
america,smith,16.4670686893
message,intended,16.2992986846
north,texas,16.2797136281
email,email,16.1936654445
day,day,16.1529901704
agreement,agreement,16.1489641645
intended,message,16.0831334791
chris,chris,16.0258011134
america,texas,15.9408128847
sara,enron,15.9165551999
confidential,intended,15.8915121904
services,smith,15.8653066123
company,enron,15.7462176925
sara,smith,15.7021811913
sara,houston,15.5924050216
exmerge,john,15.5323748204
sara,wholesale,15.4834689365
sara,services,15.4716863016
america,corp,15.4323732077
mark,mark,15.4090687059
north,corp,15.3649646963
looks,like,15.3468412693
received,error,15.2849006311
message,information,15.2799775732
wholesale,houston,15.2619312422
wholesale,smith,15.2466216812
agreement,enron,15.2299118165
state,power,15.0620284347
market,power,14.9553911432
enron,energy,14.8834479177
message,taking,14.8677459463
energy,commission,14.8223099086
enron,company,14.7980470553
gas,power,14.722719916
need,know,14.6808552768
price,price,14.6515894296
time,time,14.6178984517
notify,sender,14.5556662813
energy,trading,14.551340101
some,time,14.5322202829
call,call,14.5119550252
sender,email,14.5039115662
want,want,14.5036671053
download,asp,14.4517343786
gas,enron,14.4479601254
energy,company,14.3264563985
company,company,14.2367292351
like,know,14.2341059798
deal,deal,14.2088241038
energy,services,14.1640232013
party,party,14.1590114693
know,like,14.0931591502
items,chris,14.0605437687
market,prices,14.0384157635
exmerge,bill,14.0344809082
error,immediately,13.9933074741
mark,enron,13.9092790769
power,state,13.8876896432
bill,items,13.8798735075
gas,daily,13.8526259371
state,state,13.8461157343
chris,items,13.8455392602
meeting,meeting,13.7956232207
contracts,contracts,13.777440351
know,think,13.7588825217
error,delete,13.7414540456
know,know,13.5996871797
call,discuss,13.5487512394
power,market,13.5156695623
short,term,13.4708256282
pipeline,company,13.4694560976
intended,individual,13.4056021737
