"concept","frequency","relative_frequency-across_texts","relative_percentage-across_texts","tf-idf","gram_type","number_of_texts"
"brave","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"dinah","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jeb","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"jea","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"repaying","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"advocacy","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"recirculate","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"approving","5","0.0029940119760479044","2.5916269715802187E-5","1.7112851063862987E-4","single","5"
"indignation","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"gruber","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"razberemsia","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"champions","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"decking","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jef","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"liquidated","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"kilowatt-hour","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"petulant","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"seguran","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jel","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jen","5","0.0029940119760479044","2.5916269715802187E-5","1.7112851063862987E-4","single","5"
"jew","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"purpa","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"logon","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jet","7","0.004191616766467066","3.628277760212306E-5","2.273717675634654E-4","single","7"
"arthur","10","0.005988023952095809","5.183253943160437E-5","3.0632944270898095E-4","single","10"
"gerlich","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"wiggling","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"netco","3","0.0017964071856287425","1.554976182948131E-5","1.1692520903038214E-4","single","2"
"smashing","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"stressing","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"rodrick","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"answer","64","0.03832335329341317","3.31728252362268E-4","0.0013831466308619961","single","57"
"possibly","27","0.016167664670658683","1.399478564653318E-4","6.880860387510692E-4","single","27"
"jfk","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"sleeve","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"overton","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"rushing","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"creditworthiness","8","0.004790419161676647","4.14660315452835E-5","2.662454655964045E-4","single","6"
"custys","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"salient","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"payments","45","0.02694610778443114","2.332464274422197E-4","0.0010733185361016043","single","37"
"constructive","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"svoy","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"york-la","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"retiring","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"relies","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"finals","3","0.0017964071856287425","1.554976182948131E-5","1.1692520903038214E-4","single","2"
