source,source_type,target,target_type,weight
steve,agent,steve,agent,2
day,concept,day,concept,1
level,concept,level,concept,1
zufferli,concept,zufferli,concept,8
market,concept,market,concept,1
dorland,concept,dorland,concept,14
swaps,concept,swaps,concept,1
california,location,california,location,1
contract,concept,contract,concept,2
list,concept,people,concept,1
more,concept,more,concept,1
year,concept,year,concept,1
energy,concept,power,concept,4
pick,concept,pick,concept,2
use,concept,contract,concept,4
chris,agent,chris,agent,2
contracts,concept,year,concept,1
like,concept,like,concept,4
enron,concept,energy,concept,10
houston,location,houston,location,1
discuss,concept,kim,agent,1
power,concept,market,concept,3
enron,concept,power,concept,1
some,concept,some,concept,2
enron,concept,market,concept,2
pm,concept,pm,concept,4
power,concept,enron,concept,2
capacity,concept,capacity,concept,2
start,concept,term,concept,2
items,concept,items,concept,1
contract,concept,still,concept,2
still,concept,next,concept,1
need,concept,know,concept,2
still,concept,contract,concept,2
last,concept,year,concept,7
back,concept,more,concept,2
state,concept,power,concept,1
short,concept,term,concept,4
upon,concept,program,concept,1
sell,concept,purchase,concept,1
let,concept,time,concept,2
commission,concept,commission,concept,2
office,concept,then,concept,2
game,concept,game,concept,4
services,concept,contracts,concept,1
next,concept,last,concept,1
some,concept,more,concept,4
good,concept,good,concept,1
appropriate,concept,presentation,concept,1
time,concept,call,concept,2
john,agent,like,concept,1
call,concept,email,concept,1
today,concept,review,concept,1
dow,concept,dow,concept,4
officials,concept,long-term,concept,1
plan,concept,some,concept,1
some,concept,energy,concept,1
energy,concept,enron,concept,1
actually,concept,tim,concept,1
jones,agent,jones,agent,4
think,concept,good,concept,1
issue,concept,way,concept,3
call,concept,meeting,concept,1
like,concept,some,concept,3
chris,agent,trading,concept,1
meeting,concept,business,concept,1
call,concept,let,concept,2
jeff,agent,monday,concept,1
coming,concept,tom,agent,1
enron,concept,business,concept,1
know,concept,call,concept,1
market,concept,prices,concept,1
swaps,concept,against,concept,2
energy,concept,energy,concept,4
mike,agent,look,concept,1
some,concept,like,concept,2
some,concept,back,concept,2
some,concept,gas,concept,1
think,concept,market,concept,1
contact,concept,company,concept,1
good,concept,review,concept,1
know,concept,questions,concept,6
number,concept,state,concept,1
want,concept,discuss,concept,2
still,concept,trading,concept,1
following,concept,list,concept,5
price,concept,price,concept,4
pm,concept,joe,agent,1
know,concept,information,concept,1
deal,concept,tomorrow,concept,1
next,concept,commission,concept,1
site,concept,every,concept,1
information,concept,office,concept,2
committee,concept,order,concept,9
people,concept,people,concept,1
every,concept,every,concept,1
john,agent,information,concept,2
access,concept,call,concept,1
like,concept,enron,concept,1
john,agent,back,concept,4
gas,concept,contract,concept,4
required,concept,according,concept,1
terms,concept,period,concept,1
mike,agent,some,concept,1
commission,concept,order,concept,1
discuss,concept,provide,concept,1
