enron,enron,concept
power,power,concept
energy,energy,concept
said,said,concept
state,state,concept
know,know,concept
need,need,concept
market,market,concept
file,file,concept
gas,gas,concept
time,time,concept
company,company,concept
call,call,concept
like,like,concept
let,let,concept
some,some,concept
information,information,concept
agreement,agreement,concept
meeting,meeting,concept
california,california,location
day,day,concept
john,john,agent
business,business,concept
price,price,concept
week,week,concept
more,more,concept
going,going,concept
want,want,concept
email,email,concept
back,back,concept
work,work,concept
questions,questions,concept
last,last,concept
think,think,concept
message,message,concept
good,good,concept
next,next,concept
jeff,jeff,agent
services,services,concept
help,help,concept
committee,committee,concept
today,today,concept
review,review,concept
houston,houston,location
under,under,concept
chris,chris,agent
trading,trading,concept
well,well,concept
year,year,concept
did,did,concept
bill,bill,agent
contracts,contracts,concept
send,send,concept
commission,commission,concept
order,order,concept
mark,mark,concept
contract,contract,concept
plan,plan,concept
still,still,concept
then,then,concept
deal,deal,concept
office,office,concept
use,use,concept
make,make,concept
thank,thank,concept
prices,prices,concept
give,give,concept
take,take,concept
items,items,concept
contact,contact,concept
bit,bit,concept
system,system,concept
following,following,concept
discuss,discuss,concept
kim,kim,agent
october,october,concept
ferc,ferc,concept
look,look,concept
comments,comments,concept
issues,issues,concept
jim,jim,agent
working,working,concept
through,through,concept
friday,friday,concept
way,way,concept
number,number,concept
date,date,concept
report,report,concept
list,list,concept
right,right,concept
people,people,concept
content-transfer-encoding,content-transfer-encoding,concept
mime-version,mime-version,concept
provide,provide,concept
exmerge,exmerge,concept
corp,corp,concept
north,north,concept
available,available,concept
morning,morning,concept
steve,steve,agent
tomorrow,tomorrow,concept
texas,texas,location
capacity,capacity,concept
monday,monday,concept
issue,issue,concept
mike,mike,agent
america,america,concept
smith,smith,agent
access,access,concept
received,received,concept
intended,intended,concept
excite,excite,concept
customers,customers,concept
down,down,concept
made,made,concept
pipeline,pipeline,concept
quicken,quicken,concept
process,process,concept
change,change,concept
electric,electric,concept
days,days,concept
off,off,concept
high,high,concept
investments,investments,concept
management,management,concept
generators,generators,concept
ercot,ercot,concept
story,story,concept
july,july,concept
changes,changes,concept
west,west,concept
sure,sure,concept
dorland,dorland,concept
symbol,symbol,concept
blackberry,blackberry,concept
governor,governor,concept
copy,copy,concept
firm,firm,concept
november,november,concept
special,special,concept
utility,utility,concept
decision,decision,concept
cs,cs,concept
dbo,dbo,concept
session,session,concept
click,click,concept
net,net,concept
short,short,concept
transmission,transmission,concept
index,index,concept
trade,trade,concept
book,book,concept
subject,subject,concept
everyone,everyone,concept
why,why,concept
transaction,transaction,concept
law,law,concept
purchase,purchase,concept
id,id,concept
wholesale,wholesale,concept
full,full,concept
currently,currently,concept
federal,federal,concept
edison,edison,agent
total,total,concept
open,open,concept
jones,jones,agent
sorry,sorry,concept
against,against,concept
marketing,marketing,concept
amount,amount,concept
document,document,concept
desk,desk,concept
customer,customer,concept
operations,operations,concept
public,public,concept
natural_gas,natural_gas,concept
start,start,concept
problem,problem,concept
cash,cash,concept
markets,markets,concept
confidential,confidential,concept
ok,ok,concept
term,term,concept
later,later,concept
cell,cell,concept
mw,mw,concept
sell,sell,concept
anyone,anyone,concept
guy,guy,concept
products,products,concept
swaps,swaps,concept
given,given,concept
utilities,utilities,concept
prior,prior,concept
scheduled,scheduled,concept
friend,friend,concept
never,never,concept
hts,hts,concept
chron,chron,concept
members,members,concept
yet,yet,concept
game,game,concept
job,job,concept
times,times,concept
world,world,concept
msn,msn,concept
proposal,proposal,concept
response,response,concept
love,love,concept
sales,sales,concept
value,value,concept
picture,picture,concept
plant,plant,concept
future,future,concept
direct,direct,concept
heard,heard,concept
sale,sale,concept
copies,copies,concept
phillip,phillip,agent
ews,ews,concept
final,final,concept
payment,payment,concept
party,party,concept
york,york,concept
judge,judge,concept
load,load,concept
senate,senate,concept
points,points,concept
run,run,concept
signed,signed,concept
pacific,pacific,concept
using,using,concept
de,de,concept
line,line,concept
canada,canada,concept
james,james,agent
weeks,weeks,concept
general,general,concept
san,san,concept
past,past,concept
info,info,concept
dave,dave,agent
afternoon,afternoon,concept
eol,eol,concept
discussed,discussed,concept
revised,revised,concept
money,money,concept
dow,dow,concept
sunday,sunday,concept
section,section,concept
without,without,concept
distribution,distribution,concept
jpg,jpg,concept
once,once,concept
yes,yes,concept
called,called,concept
ask,ask,concept
appreciate,appreciate,concept
regulatory,regulatory,concept
bob,bob,agent
importance,importance,concept
daily,daily,concept
demand,demand,concept
rates,rates,concept
corporate,corporate,concept
michelle,michelle,agent
hey,hey,concept
cda,cda,concept
thing,thing,concept
hours,hours,concept
explorer,explorer,concept
supply,supply,concept
agency,agency,concept
found,found,concept
big,big,concept
proposed,proposed,concept
volume,volume,concept
plants,plants,concept
show,show,concept
several,several,concept
different,different,concept
notice,notice,concept
hour,hour,concept
account,account,concept
taking,taking,concept
yahoo,yahoo,concept
sara,sara,agent
department,department,concept
staff,staff,concept
own,own,concept
least,least,concept
application,application,concept
early,early,concept
event,event,concept
traders,traders,concept
physical,physical,concept
water,water,concept
joe,joe,agent
director,director,concept
mail,mail,concept
update,update,concept
program,program,concept
status,status,concept
gisb,gisb,concept
went,went,concept
employee,employee,concept
far,far,concept
filing,filing,concept
agreements,agreements,concept
pm,pm,concept
susan,susan,agent
hear,hear,concept
trader,trader,concept
required,required,concept
page,page,concept
upon,upon,concept
area,area,concept
course,course,concept
paso,paso,concept
make_sure,make_sure,concept
real,real,concept
happy,happy,concept
tell,tell,concept
related,related,concept
board,board,concept
fact,fact,concept
specific,specific,concept
pge,pge,concept
correct,correct,concept
greg,greg,agent
reports,reports,concept
earlier,earlier,concept
ca,ca,concept
debra,debra,agent
sign,sign,concept
immediately,immediately,concept
participants,participants,concept
socal,socal,concept
having,having,concept
understand,understand,concept
groups,groups,concept
bright,bright,concept
senior,senior,concept
pjm,pjm,concept
language,language,concept
agreed,agreed,concept
approval,approval,concept
terms,terms,concept
elizabeth,elizabeth,agent
according,according,concept
bring,bring,concept
sold,sold,concept
lunch,lunch,concept
coming,coming,concept
central,central,concept
independent,independent,concept
zufferli,zufferli,concept
pretty,pretty,concept
looks,looks,concept
suite,suite,concept
basis,basis,concept
mm,mm,concept
fuel,fuel,concept
portland,portland,concept
always,always,concept
period,period,concept
station,station,concept
necessary,necessary,concept
discussion,discussion,concept
tom,tom,agent
gary,gary,agent
four,four,concept
room,room,concept
requested,requested,concept
resources,resources,concept
mary,mary,agent
sheet,sheet,concept
password,password,concept
curve,curve,concept
effective,effective,concept
east,east,concept
agree,agree,concept
cara,cara,agent
paid,paid,concept
dan,dan,concept
original,original,concept
meetings,meetings,concept
air,air,concept
government,government,concept
pdf,pdf,concept
calpine,calpine,concept
manager,manager,concept
appropriate,appropriate,concept
via,via,concept
trades,trades,concept
old,old,concept
provided,provided,concept
development,development,concept
parties,parties,concept
opportunity,opportunity,concept
site,site,concept
lagasmar,lagasmar,concept
charge,charge,concept
co,co,concept
planning,planning,concept
contempt,contempt,concept
every,every,concept
add,add,concept
website,website,concept
ken,ken,agent
events,events,concept
turn,turn,concept
commercial,commercial,concept
presentation,presentation,concept
bank,bank,concept
counsel,counsel,concept
center,center,concept
talking,talking,concept
visit,visit,concept
eb,eb,concept
taylor,taylor,agent
model,model,concept
books,books,concept
making,making,concept
complete,complete,concept
procedures,procedures,concept
settlement,settlement,concept
error,error,concept
bad,bad,concept
everything,everything,concept
hr,hr,concept
addition,addition,concept
included,included,concept
delete,delete,concept
cover,cover,concept
city,city,concept
experience,experience,concept
frank,frank,agent
object,object,concept
lot,lot,concept
epmi,epmi,concept
question,question,concept
operating,operating,concept
added,added,concept
individual,individual,concept
took,took,concept
permit,permit,concept
delivery,delivery,concept
officials,officials,concept
ever,ever,concept
corporation,corporation,concept
pick,pick,concept
close,close,concept
ole,ole,concept
location,location,concept
leave,leave,concept
buying,buying,concept
statement,statement,concept
txsscott,txsscott,concept
talked,talked,concept
reply,reply,concept
filed,filed,concept
tim,tim,concept
oct,oct,concept
performance,performance,concept
floor,floor,concept
actually,actually,concept
volumes,volumes,concept
options,options,concept
units,units,concept
richard,richard,agent
notify,notify,concept
details,details,concept
retail,retail,concept
long-term,long-term,concept
larry,larry,concept
kind,kind,concept
weather,weather,concept
nov,nov,concept
product,product,concept
longer,longer,concept
var,var,concept
organization,organization,concept
release,release,concept
unit,unit,concept
although,although,concept
cooper,cooper,agent
approved,approved,concept
sender,sender,concept
debt,debt,concept
test,test,concept
dynegy,dynegy,concept
problems,problems,concept
ready,ready,concept
january,january,concept
level,level,concept
sp,sp,concept
though,though,concept
