Enron,Enron,concept
know,know,concept
need,need,concept
like,like,concept
time,time,concept
message,message,concept
information,information,concept
File,file,concept
some,some,concept
company,company,concept
call,call,concept
more,more,concept
said,said,concept
meeting,meeting,concept
let,let,concept
going,going,concept
day,day,concept
business,business,concept
market,market,concept
think,think,concept
week,week,concept
John,John,agent
gas,gas,concept
questions,questions,concept
want,want,concept
power,power,concept
email,email,concept
Houston,Houston,concept
Mark,Mark,agent
next,next,concept
last,last,concept
Jeff,Jeff,agent
Gas,Gas,concept
year,year,concept
would_be,would_be,concept
today,today,concept
price,price,concept
October,October,concept
Energy,Energy,concept
energy,energy,concept
Jim,Jim,agent
still,still,concept
people,people,concept
work,work,concept
back,back,concept
help,help,concept
state,state,concept
make,make,concept
then,then,concept
deal,deal,concept
good,good,concept
contract,contract,concept
use,use,concept
contracts,contracts,concept
did,did,concept
California,California,concept
review,review,concept
under,under,concept
send,send,concept
following,following,concept
Power,Power,concept
contact,contact,concept
through,through,concept
give,give,concept
number,number,concept
BlackBerry,BlackBerry,concept
working,working,concept
list,list,concept
November,November,concept
Edison,Edison,concept
agreement,agreement,concept
customers,customers,concept
Thank,Thank,concept
Mike,Mike,agent
Let,Let,concept
Texas,Texas,concept
take,take,concept
comments,comments,concept
Agreement,Agreement,concept
office,office,concept
trading,trading,concept
file,file,concept
intended,intended,concept
bit,bit,concept
down,down,concept
right,right,concept
changes,changes,concept
received,received,concept
Friday,Friday,concept
discuss,discuss,concept
Kim,Kim,agent
morning,morning,concept
available,available,concept
Services,Services,concept
Steve,Steve,agent
Bill,Bill,agent
tomorrow,tomorrow,concept
has_been,has_been,concept
Monday,Monday,concept
capacity,capacity,concept
provide,provide,concept
report,report,concept
made,made,concept
days,days,concept
Corp,Corp,concept
to_do,to_do,concept
North,North,concept
issues,issues,concept
Items,Items,concept
well,well,concept
change,change,concept
issue,issue,concept
system,system,concept
Commission,Commission,concept
Content-Transfer-Encoding,Content-Transfer-Encoding,concept
process,process,concept
copy,copy,concept
Mime-Version,Mime-Version,concept
Chris,Chris,agent
plan,plan,concept
Smith,Smith,agent
ExMerge,ExMerge,concept
prices,prices,concept
America,America,concept
ENRON,ENRON,concept
sure,sure,concept
net,net,concept
Company,Company,concept
off,off,concept
way,way,concept
FERC,FERC,concept
date,date,concept
based_on,based_on,concept
access,access,concept
out_of,out_of,concept
called,called,concept
natural_gas,natural_gas,concept
job,job,concept
future,future,concept
money,money,concept
confidential,confidential,concept
as_well,as_well,concept
yet,yet,concept
says,says,concept
taking,taking,concept
Sara,Sara,agent
currently,currently,concept
asp,asp,concept
firm,firm,concept
Dave,Dave,agent
Nov,Nov,concept
distribution,distribution,concept
High,High,concept
delete,delete,concept
customer,customer,concept
daily,daily,concept
weeks,weeks,concept
Bob,Bob,agent
sell,sell,concept
prior,prior,concept
cows,cows,concept
Wireless,Wireless,concept
Importance,Importance,concept
times,times,concept
Price,Price,concept
immediately,immediately,concept
book,book,concept
order,order,concept
Tom,Tom,agent
appreciate,appreciate,concept
West,West,concept
never,never,concept
Handheld,Handheld,concept
short,short,concept
desk,desk,concept
against,against,concept
December,December,concept
services,services,concept
Trading,Trading,concept
game,game,concept
hours,hours,concept
sender,sender,concept
copies,copies,concept
anyone,anyone,concept
proposed,proposed,concept
tell,tell,concept
amount,amount,concept
having,having,concept
approval,approval,concept
without,without,concept
Susan,Susan,agent
Joe,Joe,agent
given,given,concept
past,past,concept
Lay,Lay,agent
Mary,Mary,agent
party,party,concept
filing,filing,concept
cash,cash,concept
original,original,concept
trade,trade,concept
coming,coming,concept
law,law,concept
prohibited,prohibited,concept
demand,demand,concept
problem,problem,concept
Hey,Hey,concept
afternoon,afternoon,concept
Dynegy,Dynegy,concept
individual,individual,concept
start,start,concept
basis,basis,concept
specific,specific,concept
Ken,Ken,agent
James,James,agent
value,value,concept
enron,enron,concept
due_to,due_to,concept
early,early,concept
related,related,concept
clickability,clickability,concept
notice,notice,concept
required,required,concept
went,went,concept
talk_to,talk_to,concept
discussed,discussed,concept
final,final,concept
utility,utility,concept
using,using,concept
agreements,agreements,concept
lot,lot,concept
error,error,concept
why,why,concept
be_in,be_in,concept
info,info,concept
payment,payment,concept
management,management,concept
html,html,concept
world,world,concept
signed,signed,concept
understand,understand,concept
look_at,look_at,concept
Oct,Oct,concept
ever,ever,concept
Dan,Dan,agent
make_sure,make_sure,concept
Michelle,Michelle,agent
paid,paid,concept
markets,markets,concept
necessary,necessary,concept
Greg,Greg,agent
old,old,concept
purchase,purchase,concept
CEO,CEO,concept
State,State,concept
house,house,concept
delivery,delivery,concept
points,points,concept
big,big,concept
making,making,concept
trades,trades,concept
Karen,Karen,agent
scheduled,scheduled,concept
different,different,concept
via,via,concept
Louise,Louise,agent
York,York,concept
line,line,concept
room,room,concept
several,several,concept
Canada,Canada,concept
hard,hard,concept
physical,physical,concept
open,open,concept
July,July,concept
hear,hear,concept
agreed,agreed,concept
Frank,Frank,agent
MM,MM,concept
total,total,concept
executed,executed,concept
program,program,concept
Sunday,Sunday,concept
love,love,concept
response,response,concept
ID,ID,concept
thing,thing,concept
parties,parties,concept
set_up,set_up,concept
Pipeline,Pipeline,concept
Lisa,Lisa,concept
least,least,concept
msn,msn,concept
index,index,concept
Saturday,Saturday,concept
period,period,concept
appropriate,appropriate,concept
mail,mail,concept
every,every,concept
load,load,concept
transaction,transaction,concept
account,account,concept
Stacey,Stacey,concept
pipeline,pipeline,concept
area,area,concept
ask,ask,concept
addition,addition,concept
later,later,concept
options,options,concept
Management,Management,concept
download,download,concept
always,always,concept
in_order,in_order,concept
EOL,EOL,concept
needed,needed,concept
changed,changed,concept
sale,sale,concept
question,question,concept
responsible,responsible,concept
requested,requested,concept
term,term,concept
Center,Center,concept
notify,notify,concept
share,share,concept
run,run,concept
Wholesale,Wholesale,concept
status,status,concept
add,add,concept
looks,looks,concept
level,level,concept
disclosure,disclosure,concept
go_to,go_to,concept
lunch,lunch,concept
story,story,concept
proposal,proposal,concept
hour,hour,concept
couple,couple,concept
provided,provided,concept
pretty,pretty,concept
correct,correct,concept
positions,positions,concept
transmission,transmission,concept
Richard,Richard,agent
problems,problems,concept
own,own,concept
East,East,concept
document,document,concept
traders,traders,concept
